timestamp,btc-usdt,btc-krw,ftm-usdt,yfi-usdt,zil-usdt,vet-btc,matic-btc,kava-usdt,dent-usdt,fet-usdt,dka-krw,ant-usdt,elf-krw,atom-krw,grs-krw,bchsv-krw,knc-krw,bch-btc,jst-krw,rose-busd,tel-usdt,dappt-usdt,stox-usdt,bnbup-usdt,vite-usdt,bcd-usdt,algo-busd,ht-eth,bts-usdt,fun-usdt,lsk-usdt,iq-usdt,crv-busd,kmd-usdt,ctsi-btc,nsure-usdt,dash-eth,doge-usdc,stafi-usdt,gtx-usdt,cvp-usdt,ltc-bch,usdc-weth,weth-usdt,dai-weth,wbtc-weth,uni-weth,usdc-usdt,hex-weth,sushi-weth,link-weth,weth-ampl,strong-weth,hex-usdc,matic-weth,dai-usdc,yfi-weth,sand-weth,pols-weth,weth-swap,weth-crv,wbtc-usdc,cel-weth,snx-weth,kp3r-weth,bal-weth,weth-rari,albt-weth,gala-weth,api3-weth,1inch-weth,comp-weth,dai-usdt,ersdl-weth,xor-weth,ren-weth,bid-weth,mkr-weth,prq-weth,mta-weth
2022-09-11,21609.24061808204,29735386.752508603,0.2731756117108335,10298.412035554886,0.03724,1.19e-06,4.149e-05,1.733,0.001032,0.0961,64.1,1.9889999999999999,209.0,21800.0,450.0,74970.0,2750.0,0.00605217017793592,38.9,0.0658,0.00153505,0.000516,0.389,37.92,0.0269,0.1807,0.3251,0.0026715560492892986,0.01192,0.008,1.0775,0.0068009578398391755,1.218,0.2753,7.23e-06,0.0202,0.0274,0.06401010283139949,0.36963314003222697,4.29203091208658,0.3633,0.48102059260050983,0.0005668440729123454,1763.5504336248907,0.0005671422444646181,12.260340194030583,0.0037206995538247,0.9997153265464147,2.217255688407979e-05,0.0007484799187181551,0.004514015445977751,1381.626431620386,0.004569068255148736,0.03912479379022832,0.0005087725170028795,1.000108586762558,5.836290614964184,0.0005563517835806861,0.0003253691481940699,7824.592719478587,1435.5722140766566,21614.982898756378,0.0009152246159791733,0.0017441131810961947,0.06679771172168524,0.004391565449263083,673.9809595312693,2.7278558036083073e-05,2.9582938926588567e-05,0.0010656687362149055,0.00038743011331893965,0.03155262241385393,0.9996001599360256,3.949695258818324e-06,0.0011170513973399545,7.539076946365538e-05,8.987313682425223e-07,0.4330319165280051,6.669727993864608e-05,9.276367586294861e-05
2022-09-12,22217.34476653063,30477148.06787868,0.2723,10156.597229562525,0.03761,1.17e-06,4.117e-05,1.7309999999999999,0.001053,0.0927,65.4,2.0043424974237727,218.9,21720.0,458.0,75260.0,2665.0,0.005896647381248874,39.0,0.06555,0.0015317758100030477,0.001096,0.388,38.1,0.02836,0.188,0.3233,0.0027271428956012244,0.0118,0.00801,1.088,0.006280433412196396,1.175,0.2805,7e-06,0.0202,0.02785,0.06386,0.3646212993446478,4.3877,0.361,0.4748338170081079,0.00057712683149273,1734.9563313279064,0.0005757469613656143,12.746926734825482,0.0038926456495095435,0.9997949446591524,2.325790788552169e-05,0.0007513865771293362,0.004591389045520489,1385.0238289704075,0.004527554201727161,0.040193885403953244,0.0005255958424749896,0.9999527699469667,5.813890454740392,0.0005642515498426091,0.0003244527052087086,7543.084504272629,1493.004873037864,22094.965877543007,0.0008756527794658018,0.0017093465187720761,0.0659745648745536,0.004250360483280617,692.2581184064607,3.0744745383770314e-05,2.974070951245595e-05,0.0010473652928728345,0.0003808351799281653,0.03164077265552412,0.99982,3.8163798235953614e-06,0.00119204082238282,7.776799750470597e-05,9.179844243778252e-07,0.42657979229751286,7.772556242261608e-05,9.059848444875612e-05
2022-09-13,21483.65697182221,29601478.039435927,0.26110394818209715,9474.916098878355,0.03567,1.14e-06,4.145e-05,1.608,0.000992,0.0885,61.9,1.851,204.4,20980.0,439.0,73500.0,2655.0,0.0057950000000000015,37.9,0.0611,0.001501503914102727,0.0007998,0.36,34.4,0.02838,0.1819,0.3061,0.00284488,0.0109,0.00795,1.068,0.00553,1.084,0.2888,6.89e-06,0.02,0.027530540691765974,0.06121,0.358397817323712,4.338003273607951,0.3429,0.5008145152707826,0.0006174895474842337,1627.6136690447352,0.0006176610573030384,13.00935910576377,0.003856999705198109,0.9998094933643153,2.3312082672466424e-05,0.0007385755549544517,0.004508642059054808,1444.659069955541,0.00450245346267056,0.03831411023758034,0.00053751006725386,0.999915025005106,5.761577320187357,0.0005577766588476538,0.00032241484364056537,7045.064274543447,1505.0249011251858,21433.49730517048,0.0008871828990973329,0.001727959217611888,0.06680002665625194,0.004136249000357268,694.1433879282802,2.927053402330905e-05,2.9922214984452626e-05,0.0010540895438469274,0.00037818159343493867,0.032997498051974015,1.0000021921322793,3.7671533664917964e-06,0.0012146142151037462,7.605742038536775e-05,8.670274724258722e-07,0.43756372797967424,6.996044850712935e-05,9.560586099754067e-05
2022-09-14,20252.376386250664,28408742.127358757,0.2499531989376821,9156.606123751273,0.03468,1.18e-06,4.223e-05,1.556,0.000953,0.0928,60.6,1.756,200.0,19770.0,426.0,72890.0,2700.0,0.0058760107836000105,36.8,0.05995,0.0014966453276387642,0.0008337065208806949,0.35,32.84,0.02674,0.1736,0.3008,0.002886253922751611,0.01048,0.00774,1.009,0.00534,1.085,0.2776,7.420695127194026e-06,0.0189,0.0279,0.06074,0.3503629672980172,4.250707706667261,0.3471,0.5004546171440787,0.0006251179418784451,1599.7237901616754,0.000625216069513159,12.635700228685186,0.003824560246076222,0.9999726524429562,2.306942853173983e-05,0.0007395246298420438,0.0045982439727575595,1461.3877505689657,0.004867344023136801,0.036728132597576665,0.0005329092687058026,0.9999583194613624,5.681957295134598,0.0005555813206261685,0.00032574718328251865,6833.602014360174,1475.3876213211229,20208.804944855263,0.001070543919937801,0.0016851026127156408,0.06528195542433854,0.004018450555702265,671.1271053125226,2.89980225407993e-05,3.0177527556183552e-05,0.0010362138300299792,0.0003775509149978668,0.034041785139084166,0.9999000099990001,3.918401024765711e-06,0.0012446385503716224,7.510714623285415e-05,8.244022559924452e-07,0.4364072710276392,8.612330278470515e-05,9.37816824558825e-05
2022-09-15,20045.316969592586,28216240.23106111,0.24367293399809264,8849.0,0.03409,1.1738999999999999e-06,4.226e-05,1.5510000000000002,0.000941,0.0917,60.3,1.698,196.0,20630.0,428.0,74420.0,2770.0,0.005944289468006096,37.1,0.05967,0.0014624,0.0007366217133630705,0.348,31.27,0.02736,0.1732,0.2956,0.0029015020261390087,0.01149,0.00771,0.994,0.005355,1.053,0.2726,7.33e-06,0.0197,0.0277,0.06031,0.3383,4.28140955004597,0.3554,0.4984943570068396,0.0006307116643588957,1590.5854321713073,0.0006281572266292716,12.697901367877076,0.003828447049450845,0.9999015158301209,2.27588689688612e-05,0.0007235924361695891,0.004610120155636785,1518.8818283557887,0.004861529694208945,0.03464029968902434,0.000540214592567857,0.9999399545831452,5.610274047790205,0.0005486807517925789,0.00031282273427724484,6213.016316177775,1490.33961632418,19868.866918595904,0.0012620895785162944,0.0016780567968602467,0.06742805219578879,0.004050733493656397,656.7765501440714,2.6994106648654527e-05,3.0303289398506005e-05,0.0010387074873483314,0.0003798494853890215,0.03545571116492548,1.000100010001,4.156830803896584e-06,0.001127449390791191,7.448516289267734e-05,8.417765563914672e-07,0.4425050202187957,8.331972405903259e-05,9.305331036469464e-05
2022-09-16,19729.39249355132,27883123.412226297,0.24278300588409216,8596.0,0.03376,1.18e-06,4.104e-05,1.549,0.000937,0.0883,59.9,1.6965,193.0,22050.0,428.0,73360.0,2739.0,0.006011,36.7,0.06015,0.00142658,0.0007327834029119965,0.347,31.19,0.02673,0.16860060020314208,0.2961,0.0031563912008140994,0.01100010436229993,0.00755,0.992,0.005229,1.05,0.2777,7.74e-06,0.0195,0.0301,0.05955,0.3341,4.220539410331377,0.3363,0.47248619817917425,0.0006894246116946555,1450.7590541837021,0.0006919402315154523,13.568739514647413,0.004004438929983893,1.000055899445135,2.356392852610019e-05,0.0007762980303007475,0.005250094163673868,1492.6281350781042,0.004665530174777326,0.03430680873709784,0.000557993945720546,0.9999903430151962,5.960887352675201,0.0005934344817092236,0.00031120392751257973,5916.605393064725,1393.198595481898,19661.28150084996,0.0011357613636495344,0.0016553506044196704,0.06501202838749442,0.004096010256395641,685.7520795958844,3.001297056503562e-05,3.280643277852337e-05,0.0009669606010125442,0.00037686019431776123,0.03795187064084281,0.9997000899730081,3.966876276540045e-06,0.0013654628299396726,7.964159328721979e-05,8.67637133216759e-07,0.46060575126550674,8.01306149182773e-05,9.999813258764056e-05
2022-09-17,19924.716430009998,28048622.51112493,0.24849834334245263,9020.0,0.03421,1.19e-06,4.097e-05,1.593,0.000955,0.089,60.0,1.726,193.0,23180.0,445.0,73420.0,2737.0,0.006085,37.2,0.06173,0.00143592,0.0007639036110488634,0.35,31.85,0.028,0.1691,0.3048,0.00319591,0.01093,0.007564432131109226,1.001,0.00537,1.065,0.2738354362505222,7.9e-06,0.0191,0.0308,0.0609,0.3657,4.2846099846938515,0.4152,0.4701645021476895,0.0006922991163724858,1440.5477734733208,0.0006915191216204895,13.811180111537626,0.004103520063589576,0.9999945978308704,2.3845026964457146e-05,0.0007922706987430039,0.00549700107969789,1440.170576290001,0.004761329184053973,0.034518937774472985,0.0005663648254733905,0.999942069888939,6.298578248059682,0.0006153508895990019,0.0003133811695858943,5830.240089440441,1351.4855719793975,19973.672054688774,0.0010696037930911597,0.0018447071227364158,0.0686725710108723,0.004119656312301044,661.0372080004694,2.8743390831478196e-05,3.346474231433983e-05,0.0010667232449930594,0.00041759723941029315,0.03772206273422578,0.9996001599360256,4.126480267524794e-06,0.0013095161572917813,7.947869896939215e-05,8.7697314831566e-07,0.4680272928752184,8.327936448337562e-05,0.00010178800662192155
2022-09-18,19879.421424462013,27905189.833075956,0.24590007180864276,8928.0,0.03365,1.19e-06,4.056e-05,1.548,0.000935,0.086,59.2,1.643,190.0,22040.0,447.0,71290.0,1975.0,0.005985000000000002,36.5,0.06045013009742707,0.0014058352354068106,0.0007349147242900067,0.346,31.180922245783343,0.0309,0.1688,0.3087,0.00333333,0.01068010016183084,0.00753,1.007,0.005818498002421474,1.005,0.2668,7.57e-06,0.0194,0.0305,0.06061,0.3352,4.2577666612893825,0.3959,0.47577519084896247,0.000716353015279664,1398.2175170434275,0.0007199267004615576,14.199296668725825,0.004129021738757196,0.9999995632261819,2.3998652163275785e-05,0.0007857967157763444,0.0055461218870123275,1446.0516028636982,0.004665141334188138,0.03325481689130673,0.0005696298636422701,0.9999821045318137,6.2572972172880865,0.0006265184771970141,0.0003603897568982602,5530.824424811164,1381.6556669668716,19658.100372200264,0.001100018817605199,0.001840515908887725,0.07654704740353843,0.004106791021728701,628.5416688054991,2.980605034918735e-05,3.3126856563091744e-05,0.0010878837074413897,0.0004216817647267856,0.037041328130752234,0.9998000399920016,4.435157938225096e-06,0.001491448642511308,7.856727282888333e-05,9.603510601084754e-07,0.46882033661182165,8.295958624472439e-05,0.00010003395089378007
2022-09-19,18939.79312301849,26760593.438975304,0.22654933450804293,8341.26,0.0315,1.18e-06,3.961e-05,1.45,0.000887,0.0822,57.3,1.658,184.2,21670.0,450.0,68601.08872918859,1953.0,0.005794999999999998,34.8,0.05686,0.001379,0.0006353812152143515,0.325,29.08,0.028964377928093272,0.1605,0.3142,0.0033817562756506287,0.00998,0.00732,0.925,0.00504,0.934,0.2511,7.33e-06,0.0192,0.0304,0.05719,0.32346638832764385,4.075638275354387,0.3485,0.47021700426606217,0.0007530715059085285,1332.3445198400896,0.0007504632534013287,14.262382599614114,0.004053334327502047,0.9999599188578838,2.4231941607604847e-05,0.0007857912367293864,0.00544264412101997,1380.9917321951448,0.004702912361301121,0.031797086518642624,0.0005650278511141973,0.9999536770079779,6.250927482106474,0.0006301209347453348,0.0003529492502560798,6463.84269926504,1410.9279140836406,18826.937941799137,0.0010929774454329069,0.001824976899906274,0.07623701784186859,0.0041680007065790815,493.70130381497677,3.225869966504094e-05,3.184622036676205e-05,0.0010862146365864238,0.0004232572524742773,0.03870558818239491,0.9997000899730081,4.3719144672493204e-06,0.001330737063562959,8.083019080141411e-05,9.543879929861621e-07,0.46931326002618107,8.224207636105008e-05,0.00010615985835949347
2022-09-20,19131.571211896193,27084156.057859518,0.22833954892188107,8427.0,0.03198,1.19e-06,3.908e-05,1.5070000000000001,0.00092,0.083,57.3,1.6800000000000002,186.0,20710.0,461.0,69340.0,1905.0,0.005899013457203001,35.88413439859906,0.05757,0.001390001656928095,0.000592,0.336,29.66,0.02752,0.1607,0.3368,0.003378220864917317,0.01045,0.00739,0.947,0.005065,0.966,0.2549,7.15e-06,0.0194,0.0301,0.05848,0.3257167991628436,4.165941251906052,0.342,0.4624854425288176,0.0007392700157899123,1353.0461044329986,0.0007393279298388456,14.173534438850858,0.004010086608360364,0.9998998792784344,2.2709703224676908e-05,0.000779430905551759,0.005222058097565209,1368.6057485954168,0.004828380492348308,0.030585789022398592,0.0005532486998230007,0.9999747116249299,6.2543777699388645,0.0006257574738086321,0.00034240508896182906,6399.302626559098,1400.5997765008926,19118.76014841426,0.001078833962599453,0.0017818270474500664,0.07605036939653391,0.004066278633560126,552.7116258669927,3.1318858377550395e-05,3.1323721172110844e-05,0.0012702791375832523,0.0004408382280439873,0.0396797337224054,0.9999000099990001,4.397281793371399e-06,0.0014207069185425043,7.749757857162895e-05,9.818900841898678e-07,0.45488766143148696,8.19048202233483e-05,0.00010609789128175246
